Rule,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,Eval_Count
Rule 1 (Mention Count),13,113,15,59,0.63,0.4642857142857143,0.18055555555555555,0.26,200
Rule 2 (Section Keyword),31,118,10,41,0.745,0.7560975609756098,0.4305555555555556,0.5486725663716814,200
"Rule 3 (LLM - Full Text, Zero-shot)",41,116,12,31,0.785,0.7735849056603774,0.5694444444444444,0.656,200
"Rule 3 (LLM - Full Text, Few-shot)",45,96,32,27,0.705,0.5844155844155844,0.625,0.6040268456375839,200
Hybrid (Rule 2 AND LLM Zero-shot),24,125,3,48,0.745,0.8888888888888888,0.3333333333333333,0.48484848484848486,200
Hybrid (Rule 2 AND LLM Few-shot),25,123,5,47,0.74,0.8333333333333334,0.3472222222222222,0.49019607843137253,200
