Rule,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,Eval_Count
Rule 1 (Mention Count),13,113,15,59,0.63,0.4642857142857143,0.18055555555555555,0.26,200
Rule 2 (Section Keyword),31,118,10,41,0.745,0.7560975609756098,0.4305555555555556,0.5486725663716814,200
"Rule 3 (LLM 1.5, Zero-shot)",41,116,12,31,0.785,0.7735849056603774,0.5694444444444444,0.656,200
"Rule 3 (LLM 1.5, Few-shot)",45,96,32,27,0.705,0.5844155844155844,0.625,0.6040268456375839,200
"Rule 3 (LLM 2.5, Few-shot)",56,109,19,16,0.825,0.7466666666666667,0.7777777777777778,0.7619047619047619,200
"Rule 3 (LLM 2.5, Zero-shot)",62,97,31,10,0.795,0.6666666666666666,0.8611111111111112,0.7515151515151515,200
Hybrid (Rule 2 AND 2.5 Zero-shot),28,124,4,44,0.76,0.875,0.3888888888888889,0.5384615384615384,200
Hierarchical Hybrid Model,41,123,5,31,0.82,0.8913043478260869,0.5694444444444444,0.6949152542372882,200
